Planet	corellia	dantooine	dathomir	endor	lok	naboo	rori	talus	tatooine	yavin4	hutta	chandrila	kaas	coruscant	moraband	lothal	kashyyyk
s	i	i	i	i	i	i	i	i	i	i	i	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]
corellia	100	1000	2000	2500	2750	500	1275	500	600	3000	2500	2500	2500	2500	2500	2500	4500
dantooine	1000	100	2000	2500	2750	1000	1275	1150	750	1175	2500	2500	2500	2500	2500	2500	0
dathomir	2000	1175	1250	3750	2500	1245	3210	1150	975	1125	2500	2500	2500	2500	2500	2500	0
endor	500	3210	2750	100	1455	500	2710	1125	1050	975	2500	2500	2500	2500	2500	2500	0
lok	2750	1000	2000	4000	100	1250	2000	2000	1250	3000	2500	2500	2500	2500	2500	2500	0
naboo	500	1000	2000	4000	1250	100	500	600	500	3000	2500	2500	2500	2500	2500	2500	0
rori	1275	2250	1150	2125	1450	500	100	2250	1125	1150	2500	2500	2500	2500	2500	2500	0
talus	500	2150	2225	1465	1750	1640	1855	100	2500	750	2500	2500	2500	2500	2500	2500	0
tatooine	600	1125	1185	1275	500	500	2175	2250	100	1175	2500	2500	2500	2500	2500	2500	0
yavin4	500	2250	2565	2600	2450	2700	2850	3000	2500	100	2500	2500	2500	2500	2500	2500	0
hutta	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	100	2500	2500	2500	2500	2500	0
chandrila	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	100	2500	2500	2500	2500	0
kaas	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	100	2500	2500	2500	0
coruscant	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	100	2500	2500	0
moraband	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	5000	100	2500	0
lothal	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	100	0
kashyyyk	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
